iter	Passed	Remaining
0	0	52
1	0	48
2	1	46
3	1	42
4	2	42
5	2	41
6	3	41
7	3	40
8	3	40
9	4	39
10	4	39
11	5	38
12	5	38
13	6	37
14	6	37
15	7	36
16	7	36
17	7	36
18	8	35
19	8	35
20	9	35
21	9	34
22	10	34
23	10	33
24	11	33
25	11	32
26	11	32
27	12	31
28	12	31
29	13	30
30	13	30
31	14	29
32	14	29
33	14	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	18	25
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	20	23
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	23	20
53	23	19
54	23	19
55	24	18
56	24	18
57	25	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	28	15
65	28	14
66	28	14
67	29	13
68	29	13
69	30	12
70	30	12
71	31	12
72	31	11
73	31	11
74	32	10
75	32	10
76	33	9
77	33	9
78	34	9
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	37	6
86	37	5
87	38	5
88	38	4
89	39	4
90	39	3
91	40	3
92	40	3
93	41	2
94	41	2
95	41	1
96	42	1
97	42	0
98	43	0
99	43	0
